Fecha,Hora,Latitud,Longitud,Genero,Edad,Arma,Barrio,Id Barrio,Id Comuna,Categoria
2017-01-02,10:00:00,6.22905415,-75.60204651,Mujer,40,No,La Palma,#1614,16,Documentos
2017-01-02,14:00:00,6.25587718,-75.58307257,Hombre,39,No,Suramericana,#1102,11,Tecnología
2017-01-02,19:20:00,6.25256037,-75.56806829,Mujer,39,No,La Candelaria,#1019,10,Tecnología
2017-01-02,00:00:00,6.23104859,-75.59152689,Mujer,23,Arma cortopunzante,Granada,#1604,16,Prendas de vestir y accesorios
2017-01-02,16:30:00,6.21479565,-75.59762023,Mujer,19,No,La Mota,#1608,16,Tecnología
2017-01-02,16:35:00,6.27920351,-75.57112867,Hombre,28,No,Terminal de Transporte,#Inst_4,5,Tecnología
2017-01-02,14:45:00,6.30059057,-75.55673864,Hombre,31,No,La Francia,#0205,2,Tecnología
2017-01-02,20:00:00,6.2523604,-75.56838747,Hombre,19,Arma cortopunzante,La Candelaria,#1019,10,Tecnología
2017-01-02,16:00:00,6.26203615,-75.56790736,Hombre,34,Arma cortopunzante,Jesús Nazareno,#1003,10,Tecnología
2017-01-02,16:00:00,6.27833707,-75.59508886,Hombre,25,No,Palenque,#0716,7,Tecnología
2017-01-02,19:40:00,6.23315435,-75.54990153,Mujer,51,No,Cataluña,#0909,9,Tecnología
2017-01-02,09:30:00,6.21789792,-75.58059957,Mujer,28,Arma de fuego,Santa Fé,#1504,15,Tecnología
2017-01-02,16:00:00,6.20627216,-75.56030598,Mujer,39,No,La Florida,#1417,14,Tecnología
2017-01-02,20:00:00,6.27140511,-75.56972589,Mujer,49,Arma cortopunzante,Parque Norte,#Inst_9,4,Tecnología
2017-01-02,16:30:00,6.27799041,-75.57091903,Mujer,21,No,Terminal de Transporte,#Inst_4,5,Tecnología
2017-01-02,20:15:00,6.24189524,-75.55336442,Mujer,47,No,Barrio Caycedo,#0906,9,"Dinero, joyas, piedras preciosas y título valor"
2017-01-02,15:00:00,6.22944408,-75.55935651,Mujer,56,No,Loreto,#0913,9,"Dinero, joyas, piedras preciosas y título valor"
2017-01-02,17:40:00,6.24951016,-75.567961,Mujer,55,No,La Candelaria,#1019,10,"Dinero, joyas, piedras preciosas y título valor"
2017-01-02,12:30:00,6.24343022,-75.56654587,Hombre,46,No,Barrio Colón,#1013,10,Tecnología
2017-01-02,00:00:00,6.18306253,-75.56797709,Mujer,48,No,San Lucas,#1412,14,Prendas de vestir y accesorios
2017-01-02,16:00:00,6.29182748,-75.57254758,Mujer,48,Arma de fuego,Castilla,#0511,5,Tecnología
2017-01-03,10:00:00,6.24749446,-75.56459751,Hombre,38,Arma cortopunzante,La Candelaria,#1019,10,Tecnología
2017-01-03,21:15:00,6.27043296,-75.57394931,Hombre,43,Arma de fuego,Caribe,#0517,5,Tecnología
2017-01-03,12:30:00,6.30149923,-75.56056347,Hombre,30,Arma de fuego,Plaza de Ferias,#Inst_1,5,Prendas de vestir y accesorios
2017-01-03,16:35:00,6.25297119,-75.56948276,Mujer,32,No,San Benito,#1006,10,Tecnología
2017-01-03,18:38:00,6.26910287,-75.56549302,Hombre,66,No,Sevilla,#0407,4,Prendas de vestir y accesorios
2017-01-03,20:00:00,6.30268353,-75.57190653,Hombre,52,Objeto contundente,Pedregal,#0604,6,"Dinero, joyas, piedras preciosas y título valor"
2017-01-03,20:25:00,6.25242725,-75.56714032,Hombre,18,Arma cortopunzante,La Candelaria,#1019,10,Prendas de vestir y accesorios
2017-01-03,07:00:00,6.29045179,-75.56460824,Hombre,35,No,Tricentenario,#0510,5,Prendas de vestir y accesorios
2017-01-03,18:38:00,6.26910287,-75.56549302,Hombre,66,No,Sevilla,#0407,4,"Dinero, joyas, piedras preciosas y título valor"
2017-01-03,15:00:00,6.22427095,-75.59958425,Mujer,36,No,La Gloria,#1612,16,"Dinero, joyas, piedras preciosas y título valor"
2017-01-03,07:00:00,6.29045179,-75.56460824,Hombre,35,No,Tricentenario,#0510,5,Documentos
2017-01-03,00:00:00,6.2465026,-75.54621365,Hombre,56,No,El Pinal,#0810,8,Tecnología
2017-01-03,19:10:00,6.1988166,-75.57442512,Hombre,23,No,La Aguacatala,#1422,14,Tecnología
2017-01-03,19:10:00,6.1988166,-75.57442512,Hombre,23,No,La Aguacatala,#1422,14,"Dinero, joyas, piedras preciosas y título valor"
2017-01-03,11:50:00,6.24769428,-75.56443658,Mujer,25,Objeto contundente,La Candelaria,#1019,10,Tecnología
2017-01-03,19:10:00,6.1988166,-75.57442512,Hombre,23,No,La Aguacatala,#1422,14,Tecnología
2017-01-03,18:00:00,6.23425481,-75.55546302,Mujer,64,Arma de fuego,La Milagrosa,#0910,9,Tecnología
2017-01-03,12:30:00,6.30149923,-75.56056347,Hombre,30,Arma de fuego,Plaza de Ferias,#Inst_1,5,Tecnología
2017-01-03,20:05:00,6.26632872,-75.57528343,Hombre,27,No,Caribe,#0517,5,Prendas de vestir y accesorios
2017-01-03,21:15:00,6.27043296,-75.57394931,Hombre,43,Arma de fuego,Caribe,#0517,5,Prendas de vestir y accesorios
2017-01-03,16:30:00,6.20764234,-75.58670271,Hombre,22,Arma de fuego,Cristo Rey,#1509,15,Tecnología
2017-01-03,21:40:00,6.30157447,-75.56393769,Mujer,34,No,Boyacá,#0505,5,Tecnología
2017-01-03,20:15:00,6.25420278,-75.58885004,Hombre,23,Arma cortopunzante,U.D. Atanasio Girardot,#Inst_14,11,Tecnología
2017-01-03,10:00:00,6.25216546,-75.56339588,Mujer,22,No,Villa Nueva,#1018,10,Tecnología
2017-01-03,20:30:00,6.26575816,-75.57514396,Hombre,27,No,Caribe,#0517,5,"Dinero, joyas, piedras preciosas y título valor"
2017-01-03,17:30:00,6.21975909,-75.57323422,Mujer,39,No,Villa Carlota,#1403,14,Tecnología
2017-01-03,21:40:00,6.30157447,-75.56393769,Mujer,34,No,Boyacá,#0505,5,"Dinero, joyas, piedras preciosas y título valor"
2017-01-03,10:05:00,6.24993143,-75.56865301,Hombre,59,No,La Candelaria,#1019,10,Tecnología
2017-01-03,16:30:00,6.20764234,-75.58670271,Hombre,22,Arma de fuego,Cristo Rey,#1509,15,Tecnología
2017-01-03,15:50:00,6.24837433,-75.56712415,Hombre,16,No,La Candelaria,#1019,10,"Dinero, joyas, piedras preciosas y título valor"
2017-01-03,09:30:00,6.2472065,-75.56975808,Mujer,30,Arma cortopunzante,Guayaquil,#1007,10,Tecnología
2017-01-03,18:00:00,6.23852087,-75.55800881,Mujer,54,Arma cortopunzante,Gerona,#0911,9,Tecnología
2017-01-04,11:00:00,6.27368966,-75.55905712,Hombre,36,Arma de fuego,Brasilia,#0414,4,Tecnología
2017-01-04,15:00:00,6.27210659,-75.56045631,Hombre,26,Arma de fuego,Brasilia,#0414,4,Tecnología
2017-01-04,17:00:00,6.20326723,-75.5593313,Hombre,52,Arma de fuego,El Tesoro,#1409,14,Prendas de vestir y accesorios
2017-01-04,17:00:00,6.20326723,-75.5593313,Hombre,52,Arma de fuego,El Tesoro,#1409,14,Tecnología
2017-01-04,15:00:00,6.27210659,-75.56045631,Hombre,26,Arma de fuego,Brasilia,#0414,4,Tecnología
2017-01-04,17:00:00,6.20326723,-75.5593313,Hombre,52,Arma de fuego,El Tesoro,#1409,14,Tecnología
2017-01-04,13:30:00,6.24740914,-75.59383359,Hombre,47,Arma de fuego,Laureles,#1108,11,Tecnología
2017-01-04,00:00:00,6.25930348,-75.56495968,Hombre,30,Arma de fuego,Prado,#1001,10,Tecnología
2017-01-04,17:00:00,6.20326723,-75.5593313,Hombre,52,Arma de fuego,El Tesoro,#1409,14,Prendas de vestir y accesorios
2017-01-04,18:30:00,6.26500096,-75.56452241,Hombre,24,Arma de fuego,Sevilla,#0407,4,Tecnología
2017-01-04,17:30:00,6.24534277,-75.58368411,Mujer,40,Arma de fuego,Los Conquistadores,#1105,11,Prendas de vestir y accesorios
2017-01-04,18:00:00,6.25099188,-75.57131484,Mujer,65,No,San Benito,#1006,10,Prendas de vestir y accesorios
2017-01-04,16:00:00,6.26781112,-75.57713952,Hombre,32,Arma cortopunzante,Ecoparque Cerro El Volador,#Inst_7,7,Tecnología
2017-01-04,13:30:00,6.24740914,-75.59383359,Hombre,47,Arma de fuego,Laureles,#1108,11,Prendas de vestir y accesorios
2017-01-04,17:30:00,6.24534277,-75.58368411,Mujer,40,Arma de fuego,Los Conquistadores,#1105,11,Tecnología
2017-01-04,16:00:00,6.26781112,-75.57713952,Hombre,32,Arma cortopunzante,Ecoparque Cerro El Volador,#Inst_7,7,"Dinero, joyas, piedras preciosas y título valor"
2017-01-04,14:30:00,6.25120812,-75.56378912,Mujer,23,Arma cortopunzante,La Candelaria,#1019,10,"Dinero, joyas, piedras preciosas y título valor"
2017-01-04,21:20:00,6.25128056,-75.5832335,Hombre,20,Arma cortopunzante,Naranjal,#1103,11,"Dinero, joyas, piedras preciosas y título valor"
